,epoch,loss,loss_dpo,loss_llh
296,297.0,1.5243423e-06,1.484741e-06,3.960129e-08
297,298.0,1.4784371e-06,1.4430366e-06,3.5400472e-08
298,299.0,1.4017852e-06,1.3634725e-06,3.8312706e-08
299,300.0,1.4139468e-06,1.3797318e-06,3.4215148e-08
300,301.0,1.3218296e-06,1.2842725e-06,3.755719e-08
301,302.0,1.2881679e-06,1.2540803e-06,3.4087567e-08
302,303.0,1.2710517e-06,1.2406791e-06,3.0372604e-08
303,304.0,1.209953e-06,1.1807942e-06,2.9158759e-08
304,305.0,1.2122e-06,1.1822555e-06,2.9944612e-08
305,306.0,1.1587933e-06,1.1269742e-06,3.1819063e-08
306,307.0,1.1524772e-06,1.1265113e-06,2.5965921e-08
307,308.0,1.1011851e-06,1.0731125e-06,2.8072773e-08
308,309.0,1.0749526e-06,1.0444363e-06,3.051628e-08
309,310.0,1.0577892e-06,1.0288669e-06,2.892229e-08
310,311.0,1.0025575e-06,9.768693e-07,2.5688209e-08
311,312.0,9.761528e-07,9.5267575e-07,2.3477108e-08
312,313.0,9.669433e-07,9.4264584e-07,2.429743e-08
313,314.0,9.127734e-07,8.912149e-07,2.1558455e-08
314,315.0,8.971259e-07,8.73594e-07,2.353195e-08
315,316.0,8.605187e-07,8.381912e-07,2.2327518e-08
316,317.0,8.704808e-07,8.512753e-07,1.9205478e-08
317,318.0,8.376246e-07,8.172311e-07,2.0393466e-08
318,319.0,8.086528e-07,7.8693625e-07,2.1716595e-08
319,320.0,7.781349e-07,7.585749e-07,1.9560018e-08
320,321.0,7.4894473e-07,7.304139e-07,1.8530836e-08
321,322.0,7.3539917e-07,7.1666665e-07,1.8732523e-08
322,323.0,7.0849484e-07,6.9035565e-07,1.8139216e-08
323,324.0,6.89756e-07,6.7279814e-07,1.6957854e-08
324,325.0,6.638782e-07,6.479922e-07,1.588601e-08
325,326.0,6.474445e-07,6.3185814e-07,1.5586364e-08
326,327.0,6.4402735e-07,6.2753475e-07,1.6492564e-08
327,328.0,6.1870577e-07,6.021091e-07,1.6596674e-08
328,329.0,5.999258e-07,5.8435336e-07,1.5572452e-08
329,330.0,6.027484e-07,5.877912e-07,1.4957177e-08
330,331.0,5.6364433e-07,5.48801e-07,1.4843368e-08
331,332.0,5.4019245e-07,5.261276e-07,1.4064823e-08
